title,venue,year,authors,doi,Label,id,abstract,llm_score,llm_reason
testing of concurrent programs,iclp,2016,valerio terragni,10.14711/thesis-b1778938,1,134,towards effective regression testing of concurrent programs by valerio terragni thesis 2017 xiii 129 pages : illustrations 30 cm rapid advances in multi-core chip technology have lead to pervasive adoption of shared-memory concurrent programming where software is jointly executed read more,1,Unrelated to ASP or logic programming
determining action reversibility in strips using answer set programming,iclp,2020,"wolfgang faber, michael morak, luk chrpa",10.1017/s1471068421000429,3,321,abstract in the context of planning and reasoning about actions and change we call an action reversible when its effects can be reverted by applying other actions returning to the original state renewed interest in this area has led to several results in the context of the pddl language widely used for describing planning tasks in this paper we propose several solutions to the computational problem of deciding the reversibility of an action in particular we leverage an existing translation from pddl to answer set programming asp and then use several different encodings to tackle the problem of action reversibility for the strips fragment of pddl for these we use asp as well as epistemic logic programming elp an extension of asp with epistemic operators and compare and contrast their strengths and weaknesses,4,Relevant to ASP researchers as it uses ASP for solving a planning problem related to action reversibility.
domain-independent instance generation for classical planning,kr,2025,"claudia grundke, malte helmert, gabriele rger",10.24963/kr.2025/77,5,171,learning-based planning systems learn domain-specific knowledge that helps them to solve unseen tasks from the same planning domain for this purpose they require a diverse set of training instances a recent proposal for formal specifications of planning domains allows us to exactly characterize which instances are legal for a domain we automatically generate planning tasks from such formal specifications by means of a translation to answer set programming we experimentally examine the scalability of the approach and the suitability for learning-based planning following the setup of the learning track of the international planning competition,3,"Relevant to ASP researchers as it involves Answer Set Programming for generating planning tasks, but not central to ASP itself."
on teaching constraint-based modeling and algorithms for decision support in prolog,iclp,2024,"huaiqing wang, stephen liao, lejian liao",10.1016/s0167-9236(01)00138-5,4,357,,3,"Relevant to ASP researchers as Prolog is a logic programming language, but not central to ASP-specific topics."
relational graph convolutional networks do not learn sound rules,kr,2024,"matthew morris, david j tena cucala, bernardo cuenca grau, ian horrocks",10.24963/kr.2024/84,4,13,graph neural networks gnns are frequently used to predict missing facts in knowledge graphs kgs motivated by the lack of explainability for the outputs of these models recent work has aimed to explain their predictions using datalog a widely used logic-based formalism however such work has been restricted to certain subclasses of gnns in this paper we consider one of the most popular gnn architectures for kgs r-gcn and we provide two methods to extract rules that explain its predictions and are sound in the sense that each fact derived by the rules is also predicted by the gnn for any input dataset furthermore we provide a method that can verify that certain classes of datalog rules are not sound for the r-gcn in our experiments we train r-gcns on kg completion benchmarks and we are able to verify that no datalog rule is sound for these models even though the models often obtain high to near-perfect accuracy this raises some concerns about the ability of r-gcn models to generalise and about the explainability of their predictions we further provide two variations to the training paradigm of r-gcn that encourage it to learn sound rules and find a trade-off between model accuracy and the number of learned sound rules,3,"Relevant to ASP researchers as it deals with logic-based formalisms (Datalog) and explainability in graph neural networks, which are related to knowledge representation and reasoning."
on the correspondence between monotonic max-sum gnns and datalog,kr,2023,"david tena cucala, bernardo cuenca grau, boris motik, egor v kostylev",10.24963/kr.2023/64,4,417,although there has been significant interest in applying machine learning techniques to structured data the expressivity i e a description of what can be learned of such techniques is still poorly understood in this paper we study data transformations based on graph neural networks gnns first we note that the choice of how a dataset is encoded into a numeric form processable by a gnn can obscure the characterisation of a model s expressivity and we argue that a canonical encoding provides an appropriate basis second we study the expressivity of monotonic max-sum gnns which cover a subclass of gnns with max and sum aggregation functions we show that for each such gnn one can compute a datalog program such that applying the gnn to any dataset produces the same facts as a single round of application of the program s rules to the dataset monotonic max-sum gnns can sum an unbounded number of feature vectors which can result in arbitrarily large feature values whereas rule application requires only a bounded number of constants hence our result shows that the unbounded summation of monotonic max-sum gnns does not increase their expressive power third we sharpen our result to the subclass of monotonic max gnns which use only the max aggregation function and identify a corresponding class of datalog programs,3,"While the paper discusses graph neural networks (GNNS) and their relation to Datalog, it is more focused on machine learning techniques rather than core ASP concepts."
contracted temporal equilibrium logic,kr,2024,"pedro cabalar, thomas eiter, davide sold",10.24963/kr.2024/21,3,404,the stable model semantics of logic programs has been characterized by equilibrium logic which is a non-monotonic formalism that selects models from the monotonic intermediate logic of here-and-there it provides stable models for arbitrary propositional formulas and has been fruitfully extended to different modal languages among them are theories in the syntax of linear-time temporal logic ltl giving rise to temporal equilibrium logic tel based on temporal here-and-there tht in tel models are selected that minimize truth among tht traces of the same length in this paper we consider a selection that in addition may reduce the number of transitions in a trace intuitively forming a contraction of it we thus introduce contracted tht and contracted tel on top of a model selection on a logical basis the resulting c-stable models can be viewed as stable models in tel that can not be summarized into a smaller trace we illustrate contraction on several examples related to logic programming and explore several properties like the relation to tel and ltl and in particular the connection to the ltl property of stuttering,4,"Relevant to ASP researchers as it deals with stable model semantics and non-monotonic reasoning, which are central concepts in ASP."
improving candidate quality of probabilistic logic models,iclp,2018,alex m andrew,10.1108/k.2000.06729iae.003,3,481,,3,Related to probabilistic reasoning but not specifically ASP
extracting policies from quantified answer set programs,iclp,2025,"martn diguez, igor stphan",10.4204/eptcs.439.16,5,74,quantified answer set programming qasp extends answer set programming asp by allowing quantification over propositional variables similar to quantified boolean formulas qbf in this paper we interpret models of qasp formulas in terms of policies which represent decision-making strategies that determine how existentially quantified variables should be assigned given the conditions set by universally quantified variables as a main contribution we present an algorithm for policy extraction under qasp semantics inspired by the equilibrium logic semantics for general asp theories,4,"Focuses on extending ASP with quantification and presents an algorithm related to policy extraction, which is relevant to ASP researchers."
on combining collective entity resolution and repairing extended abstract,kr,2023,"meghyn bienvenu, gianluca cima, vctor gutirrezbasulto",10.24963/ijcai.2023/349,3,361,this paper considers the problem of querying dirty databases which may contain both erroneous facts and multiple names for the same entity while both of these data quality issues have been widely studied in isolation our contribution is a holistic framework for jointly deduplicating and repairing data our replace framework follows a declarative approach utilizing logical rules to specify under which conditions a pair of entity references can or must be merged and logical constraints to specify consistency requirements the semantics defines a space of solutions each consisting of a set of merges to perform and a set of facts to delete which can be further refined by applying optimality criteria as there may be multiple optimal solutions we use classical notions of possible and certain query answers to reason over the alternative solutions and introduce a novel notion of most informative answer to obtain a more compact presentation of query results we perform a detailed analysis of the data complexity of the central reasoning tasks of recognizing optimal solutions and most informative possible and certain answers for each of the three notions of optimal solution and for both general and restricted specifications,3,"The paper deals with data cleaning and entity resolution, which are relevant to ASP researchers but not specifically focused on ASP. It uses logical rules and constraints, which are related to logic programming."
navigating and querying answer sets: how hard is it really and why,kr,2024,"dominik rusovac, markus hecher, martin gebser, sarah alice gaggl, johannes k fichte",10.24963/kr.2024/60,5,409,answer set programming is a popular declarative paradigm with countless applications for modeling and solving combinatorial problems we can view a program as a knowledge database compactly representing conditions for solutions often we are interested in reasoning about solutions of filtering answer sets at the heart of these questions is brave and cautious reasoning for browsing answer sets we combine both as restricting atoms of answer sets is only meaningful for atoms called facets that belong to some brave but not to all answer sets cautious surprisingly the precise computational complexity of facet problems remained widely open so far in this paper we study the complexity of answer set facets we establish tight results for reasoning with facets deciding upper and lower bounds as well as the exact number of facets and comparing facets facet reasoning seems to be a natural problem formalism residing in complexity families d and up to the third level moreover our study considers quantitative importance questions on facets and generalizing from facets to conjunctions disjunctions and arbitrary queries we complete our results by an experimental evaluation,4,"Focuses on reasoning about answer sets and facets, which are central concepts in ASP."
explanations for unrealizability of infinite-state safety shields,kr,2025,"andoni rodrguez, irfansha shaik, davide corsi, roy fox, csar snchez",10.24963/kr.2025/83,2,56,safe reinforcement learning focuses on developing optimal policies while ensuring safety a popular method to address such task is shielding in which a correct-by-construction safety component is synthetised from logical specifications recently shield synthesis has been extended to infinite-state domains such as continuous environments this makes shielding more applicable to realistic scenarios however often shields might be unrealizable because the specification is inconsistent in order to address this gap we present a method to obtain simple unconditional and conditional explanations that witness unrealizability which goes by temporal formula unrolling: bounded strategy search in this paper we show different variants of the technique as well as its applicability,2,"While related to AI and reasoning, it focuses on reinforcement learning and safety shields, which are not central to ASP."
emerson-lei and manna-pnueli games for ltlf and ppltl synthesis,kr,2025,"daniel hausmann, shufang zhu, gianmarco parretti, christoph weinhuber, giuseppe de giacomo, nir piterman",10.24963/kr.2025/78,1,203,recently the manna-pnueli hierarchy has been used to define the temporal logics ltlf and ppltl which allow to use finite-trace ltlf/ppltl techniques in infinite-trace settings while achieving the expressiveness of full ltl in this paper we present the first actual solvers for reactive synthesis in these logics these are based on games on graphs that leverage dfa-based techniques from ltlf/ppltl to construct the game arena we start with a symbolic solver based on emerson-lei games which reduces lower-class properties guarantee safety to higher ones recurrence persistence before solving the game we then introduce manna-pnueli games which natively embed manna-pnueli objectives into the arena these games are solved by composing solutions to a dag of simpler emerson-lei games resulting in a provably more efficient approach we implemented the solvers and practically evaluated their performance on a range of representative formulas the results show that manna-pnueli games often offer significant advantages though not universally indicating that combining both approaches could further enhance practical performance,3,"Relevant to ASP researchers as it deals with temporal logics and reactive synthesis, which are related to nonmonotonic reasoning and logic programming concepts."
commonsense reasoning-aided autonomous vehicle systems,iclp,2024,keegan kimbrell,10.4204/eptcs.416.36,1,103,autonomous vehicle av systems have been developed with a strong reliance on machine learning techniques while machine learning approaches such as deep learning are extremely effective at tasks that involve observation and classification they struggle when it comes to performing higher level reasoning about situations on the road this research involves incorporating commonsense reasoning models that use image data to improve av systems this will allow av systems to perform more accurate reasoning while also making them more adjustable explainable and ethical this paper will discuss the findings so far and motivate its direction going forward,2,"While it involves AI, it focuses on machine learning and autonomous vehicles rather than ASP."
precise exponential-time complexity of non-monotonic reasoning,iclp,2025,georg gottlob,10.7551/mitpress/4307.003.0022,3,448,,4,Discusses nonmonotonic reasoning which is relevant to ASP
semantically guided scene generation via contextual reasoning and algebraic measures,iclp,2023,wenhao ding,10.1109/tits.2024.3510515/mm1,2,269,,1,Computer vision and image processing
cumulative scoring-based induction of default theories,iclp,2018,,10.1002/eng2.70433/v1/review2,1,3,,4,"Relates to nonmonotonic reasoning and default theories, which are relevant to ASP."
theory revision with goal-directed asp,iclp,2021,,10.1017/cbo9781107257115.023,5,424,,4,Focuses on ASP semantics and possibly new theoretical contributions to the field
lazy stream programming in prolog,iclp,2019,"paul tarau, jan wielemaker, tom schrijvers",10.4204/eptcs.306.26,4,263,in recent years stream processing has become a prominent approach for incrementally handling large amounts of data with special support and libraries in many programming languages unfortunately support in prolog has so far been lacking and most existing approaches are ad-hoc to remedy this situation we present em lazy stream generators as a unified prolog interface for stateful computations on both finite and infinite sequences of data that are produced incrementally through i/o and/or algorithmically we expose stream generators to the application programmer in two ways: 1 through an abstract sequence manipulation api convenient for defining custom generators and 2 as idiomatic lazy lists compatible with many existing list predicates we define an algebra of stream generator operations that extends prolog via an embedded language interpreter provides a compact notation for composing generators and supports moving between the two isomorphic representations as a special instance we introduce answer stream generators that encapsulate the work of coroutining first-class logic engines and support interoperation between forward recursive em and-streams and backtracking-generated em or-streams keywords: lazy stream generators lazy lists first-class logic engines stream combinators and-stream / or-stream interoperation prolog extensions,3,"Relevant to ASP researchers as it discusses advancements in Prolog, a form of logic programming, but not specifically focused on ASP."
asp chef: draw and expand,kr,2024,"mario alviano, luis angel rodriguez reiners",10.24963/kr.2024/68,5,320,asp chef is a versatile tool built upon the principles of answer set programming asp offering a unique approach to problem-solving through the concept of asp recipes in this paper we explore two key components of asp chef: the graph ingredient and one of its extension mechanisms for registering new ingredients the graph ingredient serves as a fundamental feature within asp chef allowing users to interpret instances of a designed predicate to construct graphs from the data through this capability asp chef facilitates the visualization and analysis of complex relationships and structures inherent in various domains furthermore asp chef offers a flexible extension mechanism that empowers users to register new recipes as custom ingredients these custom ingredients defined by sequences of mappings from interpretations to interpretations can be stored locally within the local storage of the browser this enables users to expand the capabilities of asp chef to suit their specific needs and use cases fostering a collaborative environment where users can share and reuse custom ingredients seamlessly notably the addition of new ingredients does not impose requirements on the utilization of recipes that employ them underscoring the modular and interoperable design of asp chef,4,"Focuses on ASP tools and extensions, relevant to ASP researchers"
product configuration in answer set programming,iclp,2021,seemran mishra,10.4204/eptcs.345.46,4,172,this is a preliminary work on configuration knowledge representation which serves as a foundation for building interactive configuration systems in answer set programming asp the major concepts of the product configuration problem are identified and discussed with a bike configuration example a fact format is developed for expressing product knowledge that is domain-specific and can be mapped from other systems finally a domain-independent asp encoding is provided that represents the concepts in the configuration problem,4,"Focuses on ASP applications in product configuration, which is relevant to ASP researchers."
an implementation of a non-monotonic logic in an embedded computer for a motor-glider,iclp,2019,"jos luis vilchis medina, pierre siegel, vincent risch, andrei doncescu",10.4204/eptcs.306.37,2,579,in this article we present an implementation of non-monotonic reasoning in an embedded system as a part of an autonomous motor-glider it simulates piloting decisions of an airplane a real pilot must take care not only about the information arising from the cockpit airspeed altitude variometer compass but also from outside the cabin throughout a flight a pilot is constantly in communication with the control tower to follow orders because there is an airspace regulation to respect in addition if the control tower sends orders while the pilot has an emergency he may have to violate these orders and airspace regulations to solve his problem e g emergency landing on the other hand climate changes constantly wind snow hail and can affect the sensors all these cases easily lead to contradictions switching to reasoning under uncertainty a pilot must make decisions to carry out a flight the objective of this implementation is to validate a non-monotonic model which allows to solve the question of incomplete and contradictory information we formalize the problem using default logic a non-monotonic logic which allows to find fixed-points in the face of contradictions for the implementation the prolog language is used in an embedded computer running at 1 ghz single core with 512 mb of ram and 0 8 watts of energy consumption,4,"Relevant to ASP researchers as it deals with non-monotonic reasoning, which is central to ASP. The use of default logic for handling contradictions aligns well with ASP's stable model semantics."
aspmc: an algebraic answer set counter,iclp,2021,"thomas eiter, markus hecher, rafael kiesel",10.1016/j.artint.2024.104109,3,493,in the last decade there has been increasing interest in extensions of answer set programming asp that cater for quantitative information such as weights or probabilities a wide range of quantitative reasoning tasks for asp and logic programming among them probabilistic inference and parameter learning in the neuro-symbolic setting can be expressed as algebraic answer set counting aasc tasks i e weighted model counting for asp with weights calculated over some semiring which makes makes efficient solvers for aasc desirable in this article we present a new solver for aasc that pushes the limits of efficient solvability notably provides improved performance compared to the state of the art in probabilistic inference by exploiting three insights gained from thorough theoretical investigations in our work namely we consider the knowledge compilation step in the aasc pipeline where the underlying logical theory specified by the answer set program is converted into a tractable circuit representation on which aasc is feasible in polynomial time first we provide a detailed comparison of different approaches to knowledge compilation for programs revealing that translation to propositional formulas followed by compilation to sd-dnnf seems favorable second we study how the translation to propositional formulas should proceed to result in efficient compilation this leads to the second and third insight namely a novel way of breaking the positive cyclic dependencies in a program called tp-unfolding and an improvement to the clark completion the procedure used to transform programs without positive cyclic dependencies into propositional formulas both improvements are tailored towards efficient knowledge compilation our empirical evaluation reveals that while all three advancements contribute to the success of tp-unfolding improves performance significantly by allowing us to handle cyclic instances better,4,Focuses on ASP extensions and solver advances for algebraic answer set counting
a category-theoretic perspective on approximation fixpoint theory,iclp,2024,samuele pollaci,10.4204/eptcs.416.37,4,326,approximation fixpoint theory aft was founded in the early 2000s by denecker marek and truszczy nski as an abstract algebraic framework to study the semantics of non-monotonic logics since its early successes the potential of aft as a unifying semantic framework has become widely recognised and the interest in aft has gradually increased with applications now ranging from foundations of database theory to abstract argumentation the non-monotonic constructive processes that occur in many more areas of computer science together with their associated semantic structures can be successfully studied using aft which greatly simplifies their characterizations the goal of my research is to take a step towards the lifting of aft into a more general framework for constructive knowledge,4,"Relevant to ASP researchers as it discusses non-monotonic reasoning and fixpoint theory, which are central concepts in ASP."
dialectical reconciliation via structured argumentative dialogues,kr,2024,"stylianos loukas vasileiou, ashwin kumar, william yeoh, tran cao son, francesca toni",10.24963/kr.2024/73,1,543,we present a novel framework designed to extend model reconciliation approaches commonly used in human-aware planning for enhanced human-ai interaction by adopting a structured argumentation-based dialogue paradigm our framework enables dialectical reconciliation to address knowledge discrepancies between an explainer ai agent and an explainee human user where the goal is for the explainee to understand the explainer s decision we formally describe the operational semantics of our proposed framework providing theoretical guarantees we then evaluate the framework s efficacy in the wild via computational and human-subject experiments our findings suggest that our framework offers a promising direction for fostering effective human-ai interactions in domains where explainability is important,3,"While the paper focuses on structured argumentation and dialogue, which are related to nonmonotonic reasoning, it does not directly address ASP or its core components."
exploring digital twins integration with asp and asp chef,iclp,2025,fiona rossettecrake,10.4000/15c2h,4,582,the category of digital oratory brings together numerous new speaking practices that are mediated by the digital interface this contribution outlines a holistic approach to digital oratory locating it with respect to more traditional e g pre-digital and/or offline formats as well as examining some of the differences between the new digital practices in the face of many general communication guides the case is made here for a linguistic-informed approach to the teaching of oratory based notably on theory developed within the framework of systemic functional linguistics various levels of analysis are considered from participant framework to lexico-grammar and multimodal resources the focus is placed on esp where there has already been considerable research on specific formats the article concludes with a discussion of four examples taken from the context of the workplace representing the types of practices that prove pertinent in applied language business communication curricula,1,The abstract does not mention ASP or any related concepts and is focused on digital oratory and linguistics.
reasoning with restricted statistical statements in probabilistic answer set programming: complexity and algorithms,kr,2025,"damiano azzolini, markus hecher",10.24963/kr.2025/6,4,552,statistical statements are an expressive tool for representing statistical information of a domain of interest recently these statements were given a meaning in the context of probabilistic answer set programming pasp allowing one to encode properties like x of elements of a domain have the feature y although the computational complexity of different tasks in pasp is well known the complexity of restricted programs composed only of statistical statements and probabilistic facts has not been studied as a first contribution we address this problem confirming that even in seemingly restricted cases the complexity is high indeed even with this restriction we do not lose expressiveness reaching higher levels of the polynomial hierarchy to mitigate these high complexities we focus on the structure of the programs thereby we design novel structure-guided reductions demonstrating how one can efficiently answer queries along treewidth decompositions we obtain precise upper bounds and we show that under reasonable assumptions in complexity theory we cannot significantly improve as we give matching lower bounds,4,"Relevant to ASP researchers, focusing on probabilistic extensions and complexity analysis of ASP."
fixpoint characterizations of disjunctive hybrid mknf knowledge bases,iclp,2021,"spencer killen, jiahuai you",10.4204/eptcs.364.6,1,512,the logic of hybrid mknf minimal knowledge and negation as failure is a powerful knowledge representation language that elegantly pairs asp answer set programming with ontologies disjunctive rules are a desirable extension to normal rule-based reasoning and typically semantic frameworks designed for normal knowledge bases need substantial restructuring to support disjunctive rules alternatively one may lift characterizations of normal rules to support disjunctive rules by inducing a collection of normal knowledge bases each with the same body and a single atom in its head in this work we refer to a set of such normal knowledge bases as a head-cut of a disjunctive knowledge base the question arises as to whether the semantics of disjunctive hybrid mknf knowledge bases can be characterized using fixpoint constructions with head-cuts earlier we have shown that head-cuts can be paired with fixpoint operators to capture the two-valued mknf models of disjunctive hybrid mknf knowledge bases three-valued semantics extends two-valued semantics with the ability to express partial information in this work we present a fixpoint construction that leverages head-cuts using an operator that iteratively captures three-valued models of hybrid mknf knowledge bases with disjunctive rules this characterization also captures partial stable models of disjunctive logic programs since a program can be expressed as a disjunctive hybrid mknf knowledge base with an empty ontology we elaborate on a relationship between this characterization and approximators in aft approximation fixpoint theory for normal hybrid mknf knowledge bases,5,Core ASP contribution related to semantics and fixpoints
natural language generation for non-expert users,iclp,2019,"van duc nguyen, tran cao son, enrico pontelli",10.4204/eptcs.306.33,5,48,motivated by the difficulty in presenting computational results especially when the results are a collection of atoms in a logical language to users who are not proficient in computer programming and/or the logical representation of the results we propose a system for automatic generation of natural language descriptions for applications targeting mainstream users differently from many earlier systems with the same aim the proposed system does not employ templates for the generation task it assumes that there exist some natural language sentences in the application domain and uses this repository for the natural language description it does not require however a large corpus as it is often required in machine learning approaches the systems consist of two main components the first one aims at analyzing the sentences and constructs a grammatical framework gf for given sentences and is implemented using the stanford parser and an answer set program the second component is for sentence construction and relies on gf library the paper includes two use cases to demostrate the capability of the system as the sentence construction is done via gf the paper includes a use case evaluation showing that the proposed system could also be utilized in addressing a challenge to create an abstract wikipedia which is recently discussed in the bluesky session of the 2018 international semantic web conference,3,"While the paper focuses on natural language generation, it uses Answer Set Programming for grammatical framework construction and demonstrates potential relevance to ASP through its application."
