title,venue,year,authors,doi,Label,id
Exploring Digital Twins integration with ASP and ASP Chef.,iclp,2025,Fiona Rossette-Crake,10.4000/15c2h,4,582
Reasoning with Restricted Statistical Statements in Probabilistic Answer Set Programming: Complexity and Algorithms.,kr,2025,"Damiano Azzolini, Markus Hecher",10.24963/kr.2025/6,4,552
Fixpoint Characterizations of Disjunctive Hybrid MKNF Knowledge Bases.,iclp,2021,"Spencer Killen, Jia-Huai You",10.4204/eptcs.364.6,1,512
Natural Language Generation for Non-Expert Users.,iclp,2019,"Van Duc Nguyen, Tran Cao Son, Enrico Pontelli",10.4204/eptcs.306.33,5,48
Treewidth in Non-Ground Answer Set Solving and Alliance Problems in Graphs.,iclp,2017,"Bernhard Bliem, Michael Morak, Marius Moldovan, Stefan Woltran",10.1613/jair.1.11515,2,376
"Proceedings of the 21st International Conference on Principles of Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam. November 2-8, 2024.",kr,2024,,10.24963/kr.2024,1,590
Knowledge Authoring with Factual English.,iclp,2022,"Yuheng Wang, Giorgian Borca-Tasciuc, Nikhil Goel, Paul Fodor, Michael Kifer",10.4204/eptcs.364.10,3,523
Explaining Image Classifiers.,kr,2024,"Hana Chockler, Joseph Y. Halpern",10.24963/kr.2024/25,5,426
Entity set expansion from the Web via ASP.,iclp,2017,"Weronika Adrian, Paweł Caryk",10.5220/0010715100003058,5,212
Encoding Choice Logics in ASP.,iclp,2020,Luca Viganò,10.1007/978-1-4757-3208-5_5,4,317
"Front Matter, Table of Contents, Preface, Conference Organization.",iclp,2018,,10.1484/m.art-eb.5.138353,1,390
Generalizing Platform-Aware Mission Planning for Infinite-State Timed Transition Systems.,kr,2025,"Stefan Panjkovic, Alessandro Cimatti, Andrea Micheli, Stefano Tonetta",10.24963/kr.2025/81,2,502
Bridging Logic Programming and Deep Learning for Explainability through ILASP.,iclp,2024,Talissa Dreossi,10.4204/eptcs.416.31,5,479
Total Preorders vs Ranking Functions under Belief Revision - the Dynamics of Empty Layers.,kr,2024,"Gabriele Kern-Isberner, Alexander Hahn, Jonas Haldimann, Christoph Beierle",10.24963/kr.2024/47,2,308
ASP Chef Creates Surveys.,iclp,2025,,10.1002/fsat.3101_6.x,3,359
Answer Set Programming with Epistemic Defaults.,iclp,2021,,10.1017/cbo9781139342124.006,4,296
Dynamic Multi-Agent Path Finding based on Conflict Resolution using Answer Set Programming.,iclp,2020,"Basem Atiq, Volkan Patoglu, Esra Erdem",10.4204/eptcs.325.27,5,28
Causally Constrained Counterfactual Generation using ASP.,iclp,2024,Sopam Dasgupta,10.4204/eptcs.416.30,4,243
Group Responsibility for Exceeding Risk Threshold.,kr,2023,"Maksim Gladyshev, Natasha Alechina, Mehdi Dastani, Dragan Doder",10.24963/kr.2023/32,4,141
A New Proof-Theoretical Linear Semantics for CHR.,iclp,2018,Arnon Avron,10.1016/0304-3975(88)90037-0,3,15
Legal Compliance Checking of Autonomous Driving with Formalized Traffic Rule Exceptions.,iclp,2023,xi zheng,10.1109/tse.2025.3569086/mm1,2,84
Assumable Answer Set Programming.,iclp,2022,,10.1017/cbo9781139342124.007,5,396
Induction of Non-monotonic Logic Programs To Explain Statistical Learning Models.,iclp,2019,Farhad Shakerin,10.4204/eptcs.306.51,2,232
The Simple Generative Logic Grammar: A Tool for Teaching Logical Thinking Through Visual Research in Art and Design.,iclp,2025,Susanna Berger,10.23943/princeton/9780691172279.003.0002,5,586
Tools and Methodologies for Verifying Answer Set Programs.,iclp,2022,Zach Hansen,10.4204/eptcs.364.36,5,192
LAD-based Feature Selection for Optimal Decision Trees and Other Classifiers.,kr,2024,"David Ing, Said Jabbour, Lakhdar Sais, Fabien Delorme",10.24963/kr.2024/81,1,265
"International Conference on Logic Programming 2020 Workshop Proceedings co-located with 36th International Conference on Logic Programming (ICLP 2020), Rende, Italy, September 18-19, 2020.",iclp,2020,"Francesco Ricca, Alessandra Russo",10.1017/s1471068420000149,1,268
Automata Techniques for Temporal Answer Set Programming.,iclp,2021,Susana Hahn,10.4204/eptcs.345.42,5,291
&quot;Would life be more interesting if I were in AI?&quot; Answering Counterfactuals based on Probabilistic Inductive Logic Programming.,iclp,2023,"Kilian Rückschloß, Felix Weitkämper",10.4204/eptcs.385.7,5,173
An Experiment with LLM in Contract Extraction.,kr,2024,,10.1088/2632-2153/ae2381/data7,3,96
Determining Action Reversibility in STRIPS Using Epistemic Logic Programs.,iclp,2020,"WOLFGANG FABER, MICHAEL MORAK, LUKÁŠ CHRPA",10.1017/s1471068421000429,1,556
"Proceedings of the International Conference on Logic Programming 2023 Workshops co-located with the 39th International Conference on Logic Programming (ICLP 2023), London, United Kingdom, July 9th and 10th, 2023.",iclp,2023,"Ralph Butler, Ewing Lusk, William McCune, Ross Overbeek",10.1007/3-540-16492-8_88,1,195
Run-Based Semantics for RPQs.,kr,2023,"Claire David, Nadime Francis, Victor Marsault",10.24963/kr.2023/18,1,230
A Temporal Module for Logical Frameworks.,iclp,2019,"Valentina Pitoni, Stefania Costantini",10.4204/eptcs.306.40,4,588
How to Split a Logic Program.,iclp,2021,Rachel Ben-Eliyahu-Zohary,10.4204/eptcs.345.13,4,166
LTL Model Checking using Coinductive Answer Set Programming.,iclp,2022,"Lingyun Situ, Lingzhong Zhao",10.1109/apsec.2015.16,4,225
A Dataflow Analysis for Comparing and Reordering Predicate Arguments.,iclp,2023,"Gonzague Yernaux, Wim Vanhoof",10.4204/eptcs.385.5,2,384
Do Repeat Yourself: Understanding Sufficient Conditions for Restricted Chase Non-Termination.,kr,2023,"Lukas Gerlach, David Carral",10.24963/kr.2023/30,2,53
Reasoning about Medical Triage Optimization with Logic Programming.,iclp,2025,"Jaikrishna Manojkumar Patil, Adam Chapman, Richard Knuszka, John Chapman, Paulo Shakarian",10.4204/eptcs.439.22,3,532
Investigating the Grounding Bottleneck for a Large-Scale Configuration Problem: Existing Tools and Constraint-Aware Guessing.,iclp,2025,"Veronika Semmelrock, Gerhard Friedrich",10.4204/eptcs.439.33,1,345
Solving Unification in the Description Logic FL_bottom.,kr,2025,"Franz Baader, Pavlos Marantidis, Alexander Okhotin",10.25368/2022.228,1,318
A Comparative Study of Text Representations for French Real-Estate Classified Advertisements Information Extraction.,kr,2023,"Lien Vi Pham, Son Bao Pham",10.1109/kse.2012.27,2,54
Contestable AI Needs Computational Argumentation.,kr,2024,"Francesco Leofante, Hamed Ayoobi, Adam Dejl, Gabriel Freedman, Deniz Gorur, Junqi Jiang, Guilherme Paulino-Passos, Antonio Rago, Anna Rapberger, Fabrizio Russo, Xiang Yin, Dekai Zhang, Francesca Toni",10.24963/kr.2024/83,3,322
Description Logics with Abstraction and Refinement: From ALC to EL.,kr,2024,"Carsten Lutz, Lukas Schulze",10.24963/kr.2024/51,4,187
Sampling and probabilistic inference in D/Slps.,iclp,2023,"Adam Sanborn, Jian-Qiao Zhu, Jake Spicer, Joakim Sundh, Pablo León-Villagrá, Nick Chater",10.1093/oso/9780198862536.003.0021,4,52
Distributed Answer Set Coloring: Stable Models Computation via Graph Coloring.,iclp,2019,Marco De Bortoli,10.4204/eptcs.306.60,3,401
Counting Solutions Under Cardinality Constraints: Structure Counts in Counting.,kr,2025,"Max Bannach, Markus Hecher",10.24963/kr.2025/8,1,97
Google vs IBM: A Constraint Solving Challenge on the Job-Shop Scheduling Problem.,iclp,2019,"Giacomo Da Col, Erich Teppan",10.4204/eptcs.306.30,4,252
An Analysis of the Role of Syntax in Inductive Inference.,kr,2025,"Jesse Heyninck, Richard Booth, Thomas Meyer, Lars-Phillip Spiegel",10.24963/kr.2025/39,3,128
CE-QArg: Counterfactual Explanations for Quantitative Bipolar Argumentation Frameworks.,kr,2024,"Xiang Yin, Nico Potyka, Francesca Toni",10.24963/kr.2024/66,1,435
Introspecting Preferences in Answer Set Programming.,iclp,2018,,10.1017/cbo9781139342124.007,4,421
Modelling and Verification of Timed Systems with the Event Calculus and s(CASP).,iclp,2021,,10.1017/cbo9780511814105.011,2,319
APIA: An Architecture for Policy-Aware Intentional Agents.,iclp,2021,"John Meyer, Daniela Inclezan",10.4204/eptcs.345.23,1,298
Design of a Solver for Multi-Agent Epistemic Planning.,iclp,2019,Francesco Fabiano,10.4204/eptcs.306.54,2,441
Computational methods for Dynamic Answer Set Programming.,iclp,2024,Susana Hahn,10.4204/eptcs.416.32,5,119
Graph Based Answer Set Programming Solver Systems.,iclp,2021,Fang Li,10.4204/eptcs.345.44,5,457
Splitting a Hybrid ASP Program.,iclp,2020,Alex Brik,10.4204/eptcs.325.8,5,460
Logical foundations of Smart Contracts.,iclp,2024,Kalonji Kalala,10.4204/eptcs.416.35,3,488
Pushdown Reward Machines for Reinforcement Learning.,kr,2025,"Giovanni Varricchione, Toryn Q. Klassen, Natasha Alechina, Mehdi Dastani, Brian Logan, Sheila A. McIlraith",10.24963/kr.2025/55,3,431
Beyond Logic Programming for Legal Reasoning.,iclp,2023,Francesca Toni,10.1007/978-3-319-61660-5_4,5,369
"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",iclp,2026,Paul Tarau,10.1007/978-3-032-04848-6_13,1,514
Operationalizing Declarative and Procedural Knowledge: a Benchmark on Logic Programming Petri Nets (LPPNs).,iclp,2020,Guanjun Liu,10.1007/978-981-19-6309-4_6,5,290
Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,iclp,2025,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",10.4204/eptcs.439.14,5,266
Preferential Reasoning with Typicality in ASP over Weighted Argumentation Graphs in a Gradual Semantics.,iclp,2023,"Mario Alviano, Laura Giordano, Daniele Theseider Dupré",10.3233/ia-240031,2,542
Adapting Approximation Fixpoint Theory to Nondeterministic Hybrid Reasoning.,iclp,2024,"Spencer Killen, Jia-Huai You, Jesse Heyninck",10.1609/aaai.v39i14.33648,1,366
LLASP: Fine-tuning Large Language Models for Answer Set Programming.,kr,2024,"Erica Coppolillo, Francesco Calimeri, Giuseppe Manco, Simona Perri, Francesco Ricca",10.24963/kr.2024/78,5,305
FastFound: Easing the ASP Bottleneck via Predicate-Decoupled Grounding.,kr,2025,"Alexander Beiser, Martin Gebser, Markus Hecher, Stefan Woltran",10.24963/kr.2025/10,1,151
Automated Playing of Survival Video Games with Commonsense Reasoning.,iclp,2024,"Bryant Hargreaves, Dan N. Nguyen, Keegan Krimbell, Gopal Gupta",10.1007/978-3-031-84924-4_7,4,0
A Framework for Combining Entity Resolution and Query Answering in Knowledge Bases.,kr,2023,"Ronald Fagin, Phokion G. Kolaitis, Domenico Lembo, Lucian Popa, Federico Scafoglieri",10.24963/kr.2023/23,3,371
Relating Answer Set Programming and Many-sorted Logics for Formal Verification.,iclp,2024,Zachary Hansen,10.4204/eptcs.416.33,5,444
Methods for Solving Extremal Problems in Practice.,iclp,2016,,10.1007/978-0-585-29602-9_6,1,67
Categorical Explaining Functors: Ensuring Coherence in Logical Explanations.,kr,2025,"Stefano Fioravanti, Francesco Giannini, Pietro Barbiero, Paolo Frazzetto, Roberto Confalonieri, Fabio Zanasi, Nicolò Navarin",10.24963/kr.2025/30,5,561
Answer Set Counting and its Applications to Network Reliability and System Biology.,iclp,2025,Mohimenul Kabir,10.4204/eptcs.416.34,4,259
Enhancing Linear Algebraic Computation of Logic Programs Using Sparse Representation.,iclp,2020,"Tuan Quoc Nguyen, Katsumi Inoue, Chiaki Sakama",10.1007/s00354-021-00142-2,3,80
Inferring Compensatory Kinase Networks in Yeast using Prolog.,iclp,2023,"George A. Elder, Conrad Bessant",10.4204/eptcs.385.26,2,449
Automated Aggregator - Rewriting with the Counting Aggregate.,iclp,2020,"Michael Dingess, Miroslaw Truszczynski",10.4204/eptcs.325.17,1,132
The Combined Problem of Online Task Assignment and Lifelong Path Finding in Logistics Warehouses: A Case Study.,iclp,2025,"Fengming Zhu, Weijia Xu, Yifei Guo, Fangzhen Lin",10.4204/eptcs.439.12,1,553
A Human-Centered Data-Driven Planner-Actor-Critic Architecture via Logic Programming.,iclp,2019,"Daoming Lyu, Fangkai Yang, Bo Liu, Steven Gustafson",10.4204/eptcs.306.23,1,79
Geometric reasoning on the Traveling Salesperson Problem: comparing Answer Set Programming and Constraint Logic Programming Approaches.,iclp,2023,"Alessandro Bertagnon, Marco Gavanelli",10.1093/logcom/exaf072,1,43
Exploiting the Full Power of Pearl&apos;s Causality in Probabilistic Logic Programming.,iclp,2022,,10.1017/cbo9780511570667.009,5,153
Counterexample-Guided Abstraction Refinement for Assumption-based Argumentation.,kr,2025,"Jean Marie Lagniez, Emmanuel Lonca, Jean-Guy Mailly",10.24963/kr.2025/67,2,19
Tractable Responsibility Measures for Ontology-Mediated Query Answering.,kr,2025,"Meghyn Bienvenu, Diego Figueira, Pierre Lafourcade",10.24963/kr.2025/16,4,526
"Demonstrating (Hybrid) Active Logic Documents and the Ciao Prolog Playground, and an Application to Verification Tutorials.",iclp,2023,"Daniela Ferreiro, José F. Morales, Salvador Abreu, Manuel V. Hermenegildo",10.4204/eptcs.385.33,3,459
Counterfactual Reasoning via Grounded Distance.,kr,2023,"Carlos Aguilera-Ventura, Andreas Herzig, Xinghan Liu, Emiliano Lorini",10.24963/kr.2023/1,2,400
Pearce&apos;s Characterisation in an Epistemic Domain.,iclp,2024,Ezgi Iraz Su,10.4204/eptcs.416.18,2,497
Reasoning about Qualitative Direction and Distance between Extended Objects using Answer Set Programming.,iclp,2019,Yusuf Izmirlioglu,10.4204/eptcs.306.50,4,447
Learning Effect Axioms via Probabilistic Logic Programming.,iclp,2017,Fabrizio Riguzzi,10.1201/9781003338192-2,2,495
On the Independencies Hidden in the Structure of a Probabilistic Logic Program.,iclp,2023,"Kilian Rückschloß, Felix Weitkämper",10.4204/eptcs.385.17,5,452
Explaining Decisions in ML Models: A Parameterized Complexity Analysis.,kr,2024,"Sebastian Ordyniak, Giacomo Paesani, Mateusz Rychlicki, Stefan Szeider",10.24963/kr.2024/53,1,513
Repairing General Game Descriptions.,kr,2025,"Yifan He, Munyque Mittelmann, Aniello Murano, Abdallah Saffidine, Michael Thielscher",10.24963/kr.2025/38,1,20
xDNN(ASP): Explanation Generation System for Deep Neural Networks powered by Answer Set Programming.,iclp,2025,"Ly Ly Trieu, Tran Cao Son",10.4204/eptcs.439.30,5,234
Teaching Prolog through Grammars.,iclp,2024,"Helder Coelho, José Carlos Cotta",10.1007/978-3-642-83213-0_15,4,467
On Model Reconciliation: How to Reconcile When Robot Does not Know Human&apos;s Model?,iclp,2022,"Ho Tuan Dung, Tran Cao Son",10.4204/eptcs.364.4,2,416
Concerning Measures in a First-order Logic with Actions and Meta-beliefs.,kr,2023,"Daxin Liu, Qihui Feng, Vaishak Belle, Gerhard Lakemeyer",10.24963/kr.2023/44,2,150
Omega-Completeness of the Logic of Here-and-There and Strong Equivalence of Logic Programs.,kr,2023,"Jorge Fandinno, Vladimir Lifschitz",10.24963/kr.2023/24,3,158
Justifications for Goal-Directed Constraint Answer Set Programming.,iclp,2020,"Joaquín Arias, Manuel Carro, Zhuo Chen, Gopal Gupta",10.4204/eptcs.325.12,5,117
A Report on Sequential KR-Approaches as Cognitive Logic.,kr,2024,Srinivas Devadas,10.21236/ada208322,2,244
Compactness and Preservation in Logical Argumentation Frameworks.,kr,2025,"Ofer Arieli, Christian Straßer",10.1177/19462174261418979,2,343
An ASP-based Approach for Attractor Enumeration in Synchronous and Asynchronous Boolean Networks.,iclp,2019,"Tarek Khaled, Belaïd Benhamou",10.4204/eptcs.306.34,4,420
Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,iclp,2025,"Maria Daskolia, Jaume Piera, Karen Soacha",10.21125/edulearn.2022.2414,3,336
Variant-based Equational Unification under Constructor Symbols.,iclp,2020,"Damián Aparicio-Sánchez, Santiago Escobar, Julia Sapiña",10.4204/eptcs.325.10,2,149
Formalisation of Action with Durations in Answer Set Programming.,iclp,2021,Etienne Tignon,10.4204/eptcs.345.47,5,220
Autonomous Task Completion Based on Goal-directed Answer Set Programming.,iclp,2024,Alexis R. Tudor,10.4204/eptcs.416.39,5,423
Non-monotone Fixpoint Theory Based on the Structure of Weak Bilattices.,kr,2024,"Angelos Charalambidis, Giannos Chatziagapis, Babis Kostopoulos, Panos Rondogiannis",10.24963/kr.2024/23,1,581
Adding Circumscription to Decidable Fragments of First-Order Logic: A Complexity Rollercoaster.,kr,2024,"Carsten Lutz, Quentin Manière",10.24963/kr.2024/50,2,537
Two-Variable Logic for Hierarchically Partitioned and Ordered Data.,kr,2025,"Oskar Fiuk, Emanuel Kieroński, Vincent Michielini",10.24963/kr.2025/31,2,583
General Game Playing - Killer App for Logic Programming.,iclp,2024,Michael Thielscher,10.1007/978-3-642-02846-5_28,3,427
Recursive Aggregates as Intensional Functions.,iclp,2023,"Jorge Fandinno, Zachary Hansen",10.1609/aaai.v39i14.33633,4,365
Generative Logic: Teaching Prolog as Generative AI in Art and Design.,iclp,2024,Shalin Hai-Jew,10.4018/979-8-3693-0074-9.ch010,2,214
Credible Models of Belief Update.,kr,2023,"Eduardo Fermé, Sébastien Konieczny, Ramón Pino Pérez, Nicolas Schwind",10.24963/kr.2023/25,1,524
Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing.,iclp,2024,"Divyagna Bavikadi, Dyuman Aditya, Devendra Parkar, Paulo Shakarian, Graham Mueller, Chad Parvis, Gerardo I. Simari",10.4204/eptcs.416.24,1,464
Streamlining Input/Output Logics with Sequent Calculi.,kr,2023,"Agata Ciabattoni, Dmitry Rozplokhas",10.24963/kr.2023/15,2,46
Democratising Access to Logic Programming: A Web Application Design Tool for Querying Prolog Code.,iclp,2024,,10.7551/mitpress/4316.003.0026,2,240
Reliable Conversational Agents under ASP Control that Understand Natural Language.,iclp,2024,Yankai Zeng,10.4204/eptcs.416.41,1,461
Learning Commonsense Knowledge Through Interactive Dialogue.,iclp,2018,"Benjamin Wu, Alessandra Russo, Mark Law, Katsumi Inoue",10.29007/lrph,2,55
Argumentative Causal Discovery.,kr,2024,"Fabrizio Russo, Anna Rapberger, Francesca Toni",10.24963/kr.2024/88,3,346
Architecture for Simulating Behavior Mode Changes in Norm-Aware Autonomous Agents.,iclp,2024,"Sean Glaze, Daniela Inclezan",10.4204/eptcs.416.7,2,27
MTLearn: Extracting Temporal Rules Using Datalog Rule Learners.,kr,2024,"Dingmin Wang, Przemysław Andrzej Wałęga, Bernardo Cuenca Grau",10.24963/kr.2024/90,1,175
Solving Gossip Problems using Answer Set Programming: An Epistemic Planning Approach.,iclp,2020,"Esra Erdem, Andreas Herzig",10.4204/eptcs.325.11,4,412
Inductive First-Order Formula Synthesis by ASP: A Case Study in Invariant Inference.,iclp,2025,"Ziyi Yang, George Pîrlea, Ilya Sergey",10.4204/eptcs.439.35,3,595
Towards Parallelising Extension Construction for Serialisable Semantics in Abstract Argumentation.,kr,2023,"Lars Bengel, Matthias Thimm",10.24963/kr.2023/72,1,470
Ontology-Based Query Answering over Datalog-Expressible Rule Sets is Undecidable.,kr,2024,"David Carral, Lucas Larroque, Michaël Thomazo",10.24963/kr.2024/22,4,162
Reasoning about Study Regulations in Answer Set Programming (Preliminary Report).,iclp,2023,"SUSANA HAHN, TORSTEN SCHAUB, CEDRIC MARTENS, AMADE NEMES, HENRY OTUNUYA, JAVIER ROMERO, SEBASTIAN SCHELLHORN",10.1017/s1471068424000383,5,348
"Proceedings 36th International Conference on Logic Programming (Technical Communications), ICLP Technical Communications 2020, (Technical Communications) UNICAL, Rende (CS), Italy, 18-24th September 2020.",iclp,2020,,10.1109/cscc49995.2020.00008,1,330
Reasoning About Knowledge on Regular Expressions Is 2EXPTIME-Complete.,kr,2025,"Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",10.24963/kr.2025/35,2,85
"Weighted Merging Operators: Product, Utility-based Operators and Egalitarianism.",kr,2024,"Patricia Everaere, Sébastien Konieczny, Ramón Pino Pérez",10.24963/kr.2024/31,1,309
Revising Boolean Logical Models of Biological Regulatory Networks.,kr,2023,"Frederico Aleixo, Matthias Knorr, João Leite",10.24963/kr.2023/2,3,167
Can LLMs Solve ASP Problems? Insights from a Benchmarking Study.,kr,2025,"Lin Ren, Guohui Xiao, Guilin Qi, Yishuai Geng, Haohan Xue",10.24963/kr.2025/60,3,545
Contractions Based on Optimal Repairs.,kr,2024,"Franz Baader, Renata Wassermann",10.25368/2024.122,1,453
Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2025,Ondřej Vašíček,10.4204/eptcs.416.40,1,112
Deep Inductive Logic Programming meets Reinforcement Learning.,iclp,2023,", Yushi Cao",10.32657/10356/182530,4,18
A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,iclp,2025,,10.1002/9781118936764.ch2,5,389
Value awareness and process automation: a reflection through school place allocation models.,iclp,2023,"Joaquín Arias, Mar Moreno-Rebato, Jose A. Rodriguez-García, Sascha Ossowski",10.1007/978-3-031-58202-8_16,1,379
Advancing Algorithmic Approaches to Probabilistic Argumentation under the Constellation Approach.,kr,2024,"Andrei Popescu, Johannes P. Wallner",10.24963/kr.2024/55,2,571
Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2024,Ondřej Vašíček,10.4204/eptcs.416.40,1,287
Reasoning about Probability via Continuous Functions.,kr,2023,"Tommaso Flaminio, Sandro Preto, Sara Ugolini",10.24963/kr.2023/28,4,218
